iso3,country,year,gdp_pc_usd,gdp_pc_ppp,price_level
AUS,Australia,1980,11021.309,10298.991,107.01348316548678
AUS,Australia,1981,12544.129,11553.35,108.57568584003774
AUS,Australia,1982,12250.122,12074.479,101.45466317842782
AUS,Australia,1983,11606.529,12330.927,94.12535651212598
AUS,Australia,1984,12590.852,13418.795,93.82997504619453
AUS,Australia,1985,10981.344,14393.459,76.29398881811522
AUS,Australia,1986,11259.318,14820.683,75.97030447247268
AUS,Australia,1987,13014.911,15682.405,82.99052983263728
AUS,Australia,1988,16266.362,16629.366,97.81709056135993
AUS,Australia,1989,18232.203,17815.218,102.3406112684111
AUS,Australia,1990,18903.424,18501.976,102.16975743563823
AUS,Australia,1991,18694.805,18711.232,99.91220781186402
AUS,Australia,1992,18137.817,19436.387,93.31887145486452
AUS,Australia,1993,17480.592,20487.635,85.32264460978537
AUS,Australia,1994,19778.159,21731.6,91.01105763036315
AUS,Australia,1995,20960.366,22558.539,92.91544102213358
AUS,Australia,1996,23203.426,23608.944,98.28235434841982
AUS,Australia,1997,23074.735,24905.965,92.64742402071151
AUS,Australia,1998,20430.063,26090.752,78.3038488120235
AUS,Australia,1999,21813.868,27317.672,79.85258773148752
AUS,Australia,2000,20951.98,28471.013,73.59056736056424
AUS,Australia,2001,19538.175,29486.114,66.26229214198928
AUS,Australia,2002,21740.244,30837.923,70.49840548599852
AUS,Australia,2003,27337.48,32033.51,85.34025774883864
AUS,Australia,2004,32914.151,33870.646,97.17603555597964
AUS,Australia,2005,36319.707,35524.283,102.23909937886712
AUS,Australia,2006,38049.787,37009.395,102.81115646445991
AUS,Australia,2007,45295.817,38934.947,116.33717390189334
AUS,Australia,2008,49335.216,39870.469,123.73874006849532
AUS,Australia,2009,45926.875,40179.775,114.30346486509693
AUS,Australia,2010,56757.308,41079.234,138.16544875203854
AUS,Australia,2011,67508.541,42411.069,159.17670219536316
AUS,Australia,2012,68733.794,44080.277,155.9286798492668
AUS,Australia,2013,65525.921,45108.818,145.26188870654957
AUS,Australia,2014,61889.636,46386.746,133.42094744046068
AUS,Australia,2015,51652.457,47215.909,109.39629903132861
AUS,Australia,2016,51985.08,48149.152,107.9667612837709
AUS,Australia,2017,55994.408,49423.626,113.29481976899065
AUS,Australia,2018,56573.19,51426.995,110.0067970139029
AUS,Australia,2019,54543.96,53748.492,101.47998198721557
AUS,Australia,2020,53321.573,53963.371,98.81067845075874
AUS,Australia,2021,64411.291,60478.221,106.50328322322842
AUS,Australia,2022,65775.618,66104.039,99.50317559264418
AUS,Australia,2023,64851.313,68360.691,94.86638015405666
AUS,Australia,2024,65700.943,69646.633,94.33470100413899
AUS,Australia,2025,66351.856,72132.376,91.98623375445167
AUS,Australia,2026,75647.841,74754.759,101.19468246830947
AUS,Australia,2027,77822.946,76771.911,101.36903587042403
AUS,Australia,2028,79735.545,78537.291,101.52571343465362
AUS,Australia,2029,81809.562,80610.829,101.48706199262634
AUS,Australia,2030,84347.972,82951.078,101.68399740386738
AUS,Australia,2031,86913.276,85387.396,101.78700847136737
AUT,Austria,1980,10673.228,12195.591,87.51710351716451
AUT,Austria,1981,9229.942,13309.367,69.34921848649901
AUT,Austria,1982,9216.949,14383.343,64.08071475456019
AUT,Austria,1983,9365.702,15411.117,60.77237620089445
AUT,Austria,1984,8834.022,16018.595,55.148544550879784
AUT,Austria,1985,9041.048,16884.452,53.54658830502761
AUT,Austria,1986,12815.58,17609.127,72.7780542442564
AUT,Austria,1987,16004.95,18324.295,87.34278726684984
AUT,Austria,1988,17536.325,19128.481,91.67651629002847
AUT,Austria,1989,17451.786,20602.332,84.70781851297224
AUT,Austria,1990,21707.996,22154.836,97.98310400492245
AUT,Austria,1991,22498.089,23489.385,95.7798128814356
AUT,Austria,1992,24931.218,24250.901,102.80532669693385
AUT,Austria,1993,24020.491,24691.762,97.28139692906485
AUT,Austria,1994,25584.781,25674.357,99.65110713386123
AUT,Austria,1995,30184.445,26845.658,112.43697211668271
AUT,Austria,1996,29657.412,27955.03,106.0897162335365
AUT,Austria,1997,26603.585,29014.39,91.69100229231081
AUT,Austria,1998,27249.493,30332.044,89.8373119859644
AUT,Austria,1999,27105.607,31856.422,85.08679034952513
AUT,Austria,2000,24498.114,33536.384,73.04936036037756
AUT,Austria,2001,24430.662,34610.373,70.58768768542309
AUT,Austria,2002,26315.717,35494.174,74.14094775103092
AUT,Austria,2003,32114.633,36445.197,88.11760024235842
AUT,Austria,2004,36608.939,38144.671,95.9739277866625
AUT,Austria,2005,38190.312,39980.407,95.5225693425282
AUT,Austria,2006,40387.725,42341.114,95.38654320715321
AUT,Austria,2007,46630.129,44981.819,103.66439160675117
AUT,Austria,2008,51575.468,46367.371,111.23224562375987
